University,Location,Overall Teaching Score,Research Score,Research Quality,Industry Income Score,International Outlook Score,Overall Score,Rank
University of Oxford,United Kingdom,96.8,100.0,98.8,99.6,97.3,98.50000000000001,1
Massachusetts Institute of Technology,United States,99.2,96.0,99.7,100.0,93.8,97.74,2
California Institute of Technology,United States,95.2,97.5,97.3,100.0,89.7,95.94,3
Stanford University,United States,97.5,97.3,99.6,100.0,85.1,95.9,4
Princeton University,United States,98.3,98.0,98.9,96.9,87.4,95.9,5
University of Cambridge,United Kingdom,95.9,99.9,97.6,88.4,97.1,95.78,6
Harvard University,United States,97.3,99.9,99.3,85.7,90.1,94.46,7
Imperial College London,United Kingdom,89.3,94.9,98.5,90.8,98.3,94.36,8
"University of California, Berkeley",United States,87.2,98.9,99.0,99.5,86.4,94.2,9
National University of Singapore,Singapore,78.4,93.6,95.7,100.0,91.9,91.92,10
ETH Zurich,Switzerland,87.3,97.2,95.1,84.0,95.3,91.78,11
Johns Hopkins University,United States,83.7,91.3,97.3,100.0,83.6,91.17999999999999,12
Yale University,United States,93.7,95.0,97.8,86.5,82.3,91.06,13
University of Pennsylvania,United States,87.1,90.7,96.9,98.3,79.3,90.46000000000001,14
Peking University,China,94.9,97.7,88.2,99.9,70.1,90.16000000000001,15
University of Toronto,Canada,76.2,93.5,93.4,94.9,91.8,89.96000000000001,16
The University of Chicago,United States,88.4,90.0,97.4,86.2,81.1,88.62,17
Tsinghua University,China,95.4,98.4,93.5,100.0,49.8,87.42,18
"University of California, Los Angeles",United States,84.9,92.1,96.6,89.0,73.4,87.2,19
UCL,United Kingdom,77.6,86.2,98.4,74.9,97.7,86.96000000000001,20
"Nanyang Technological University, Singapore",Singapore,65.8,79.3,94.5,99.9,94.1,86.72,21
Columbia University,United States,86.4,88.8,96.9,75.9,85.4,86.67999999999999,22
Technical University of Munich,Germany,70.4,86.0,91.7,100.0,83.1,86.24000000000001,23
École Polytechnique Fédérale de Lausanne,Switzerland,73.6,72.4,88.5,100.0,95.3,85.96000000000001,24
Carnegie Mellon University,United States,73.1,85.1,99.0,85.4,84.2,85.36,25
Cornell University,United States,83.2,91.1,96.8,69.5,85.5,85.22,26
University of Hong Kong,Hong Kong,65.0,70.5,96.1,96.3,97.4,85.05999999999999,27
Duke University,United States,77.7,75.6,96.2,100.0,75.5,85.0,28
University of Melbourne,Australia,64.2,75.3,89.1,99.3,92.3,84.03999999999999,29
University of Michigan-Ann Arbor,United States,84.3,88.8,95.4,82.5,68.2,83.84,30
University of Edinburgh,United Kingdom,72.2,77.1,95.7,72.2,96.6,82.75999999999999,31
Georgia Institute of Technology,United States,60.0,77.7,92.9,99.2,83.4,82.64000000000001,32
"University of California, San Diego",United States,64.9,75.8,97.4,100.0,73.9,82.4,33
The Chinese University of Hong Kong,Hong Kong,60.8,64.3,97.8,94.2,94.6,82.33999999999999,34
University of Washington,United States,74.6,81.3,98.0,84.7,72.1,82.13999999999999,35
LMU Munich,Germany,65.2,76.5,91.7,100.0,76.4,81.96,36
Delft University of Technology,Netherlands,63.2,76.1,76.8,100.0,93.6,81.94000000000001,37
Paris Sciences et Lettres – PSL Research University Paris,France,74.4,72.8,82.0,99.4,80.4,81.8,38
KU Leuven,Belgium,59.5,74.9,92.4,100.0,80.6,81.47999999999999,39
Northwestern University,United States,71.8,75.8,97.8,92.3,69.4,81.42,40
The University of Tokyo,Japan,94.1,94.2,68.3,100.0,50.4,81.4,41
The Hong Kong University of Science and Technology,Hong Kong,54.1,60.9,93.0,100.0,98.1,81.22,42
King’s College London,United Kingdom,60.1,74.3,97.2,76.2,97.2,81.0,43
Monash University,Australia,52.2,65.6,95.0,99.7,92.0,80.9,44
The University of Sydney,Australia,53.2,67.7,92.1,99.5,90.5,80.6,45
Karolinska Institute,Sweden,59.9,67.1,96.1,95.9,83.8,80.56,46
University of British Columbia,Canada,62.3,76.7,89.7,79.8,94.3,80.56,47
Universität Heidelberg,Germany,65.6,63.4,95.2,99.3,78.5,80.4,48
Wageningen University & Research,Netherlands,56.7,59.3,92.9,99.0,92.8,80.14,49
Institut Polytechnique de Paris,France,69.2,60.8,73.4,98.3,97.0,79.74,50
City University of Hong Kong,Hong Kong,53.1,51.8,92.9,100.0,99.1,79.38,51
McGill University,Canada,66.2,70.9,88.6,78.0,91.6,79.06000000000002,52
The University of Queensland,Australia,50.8,61.9,87.8,99.7,93.6,78.75999999999999,53
Fudan University,China,78.2,76.2,85.4,99.4,53.8,78.60000000000001,54
University of Groningen,Netherlands,46.4,57.5,94.8,99.9,93.5,78.42,55
"University of California, Santa Barbara",United States,49.6,65.5,96.7,96.8,81.9,78.1,56
Zhejiang University,China,70.6,76.6,81.8,100.0,61.3,78.06,57
University of Manchester,United Kingdom,60.3,67.7,93.4,73.3,95.5,78.03999999999999,58
New York University,United States,72.0,76.8,94.3,71.7,75.3,78.02000000000001,59
Leiden University,Netherlands,46.8,62.8,93.8,98.7,87.7,77.96,60
UNSW Sydney,Australia,47.6,57.4,91.7,98.2,93.9,77.75999999999999,61
University of Amsterdam,Netherlands,54.5,63.8,97.1,77.2,93.4,77.2,62
Shanghai Jiao Tong University,China,72.4,79.3,77.5,100.0,56.4,77.11999999999999,63
Université Paris-Saclay,France,68.4,66.9,81.5,91.0,77.5,77.06,64
Australian National University,Australia,53.6,65.1,85.0,86.1,94.0,76.75999999999999,65
The Hong Kong Polytechnic University,Hong Kong,46.1,53.5,92.8,93.6,97.7,76.74,66
"University of California, Davis",United States,63.8,67.8,86.1,89.4,75.4,76.5,67
University of Illinois at Urbana-Champaign,United States,66.4,81.0,84.1,86.7,63.2,76.28,68
Nanjing University,China,66.8,65.0,86.3,99.1,61.5,75.74000000000001,69
Kyoto University,Japan,86.3,85.1,58.7,100.0,45.8,75.17999999999999,70
University of Science and Technology of China,China,72.3,68.1,90.0,98.8,46.1,75.06,71
University of Alberta,Canada,48.2,56.7,79.3,100.0,90.4,74.92,72
University of Basel,Switzerland,50.5,42.7,86.0,99.7,95.1,74.8,73
University of Sheffield,United Kingdom,48.7,49.1,90.1,94.0,91.8,74.74,74
University of Bern,Switzerland,46.1,47.9,92.8,99.1,87.1,74.6,75
Technical University of Denmark,Denmark,49.8,46.8,84.0,99.8,92.2,74.52,76
KTH Royal Institute of Technology,Sweden,52.3,58.3,81.5,97.3,82.9,74.46,77
McMaster University,Canada,41.2,50.2,93.0,100.0,87.6,74.4,78
Lund University,Sweden,48.4,58.4,86.0,99.8,79.3,74.38000000000001,79
University of Wisconsin-Madison,United States,69.7,70.2,86.3,81.4,63.5,74.22,80
Maastricht University,Netherlands,40.3,46.7,88.6,98.3,97.1,74.2,81
"University of California, Irvine",United States,48.3,53.2,92.9,97.6,78.1,74.02000000000001,82
Seoul National University,South Korea,73.7,74.3,76.2,100.0,44.9,73.82,83
Purdue University West Lafayette,United States,63.0,68.9,73.8,86.2,77.2,73.82,84
Charité - Universitätsmedizin Berlin,Germany,47.3,49.0,97.8,100.0,74.6,73.74000000000001,85
Washington University in St Louis,United States,59.8,56.9,97.5,78.4,74.8,73.48,86
University of Bristol,United Kingdom,49.8,56.9,96.8,71.1,92.6,73.44000000000001,87
Aarhus University,Denmark,44.2,59.4,84.3,99.7,79.4,73.4,88
Université de Montréal,Canada,49.3,53.2,79.5,97.8,86.8,73.32000000000001,89
RWTH Aachen University,Germany,53.9,64.2,78.0,100.0,70.3,73.28,90
London School of Economics and Political Science,United Kingdom,60.0,72.0,94.7,45.1,94.2,73.2,91
University of Lausanne,Switzerland,41.0,46.0,89.5,99.0,89.8,73.06,92
