rank,clean_rank,name,location,ranking_source,stats_number_students_clean,stats_student_staff_ratio_clean,KPI_Global_Ranking_Score,KPI_Research_Impact_Score,KPI_Faculty_To_Student_Ratio,KPI_International_Student_Pct,KPI_Academic_Reputation_Score,KPI_Research_Productivity_Index,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook
1,1.0,University of Oxford,United Kingdom,THE World University Rankings 2024,21750.0,10.9,98.5,99.4,0.0917,42.0,96.6,99.46,98.5,96.6,100.0,99.0,98.7,97.5
2,2.0,Stanford University,United States,THE World University Rankings 2024,14517.0,6.4,98.0,98.88,0.1562,23.0,99.0,98.76,98.0,99.0,97.8,99.6,100.0,87.0
3,3.0,Massachusetts Institute of Technology,United States,THE World University Rankings 2024,11085.0,8.0,97.9,98.3,0.125,33.0,98.6,98.0,97.9,98.6,96.2,99.7,100.0,93.8
4,4.0,Harvard University,United States,THE World University Rankings 2024,20050.0,9.0,97.8,99.6,0.1111,25.0,97.7,97.37,97.8,97.7,99.9,99.4,84.2,90.8
5,5.0,University of Cambridge,United Kingdom,THE World University Rankings 2024,20565.0,11.5,97.5,98.8,0.087,38.0,95.8,97.48,97.5,95.8,100.0,98.0,87.9,97.4
6,6.0,Princeton University,United States,THE World University Rankings 2024,7753.0,7.3,96.9,98.44,0.137,23.0,96.3,97.8,96.9,96.3,97.9,98.8,95.1,89.1
7,7.0,California Institute of Technology,United States,THE World University Rankings 2024,2240.0,6.1,96.5,96.74,0.1639,33.0,96.6,97.56,96.5,96.6,98.0,95.9,100.0,90.6
8,8.0,Imperial College London,United Kingdom,THE World University Rankings 2024,20275.0,11.8,95.1,97.36,0.0847,61.0,90.9,95.9,95.1,90.9,95.5,98.6,90.9,98.3
9,9.0,"University of California, Berkeley",United States,THE World University Rankings 2024,39991.0,17.9,94.6,98.92,0.0559,22.0,87.2,98.96,94.6,87.2,98.8,99.0,99.4,86.8
10,10.0,Yale University,United States,THE World University Rankings 2024,11924.0,5.2,94.2,96.58,0.1923,21.0,94.0,94.62,94.2,94.0,94.9,97.7,86.5,82.4
11,11.0,ETH Zurich,Switzerland,THE World University Rankings 2024,22619.0,15.4,93.1,96.08,0.0649,43.0,87.6,94.29,93.1,87.6,96.8,95.6,82.9,95.6
12,12.0,Tsinghua University,China,THE World University Rankings 2024,38518.0,11.2,92.4,95.16,0.0893,10.0,95.3,96.65,92.4,95.3,98.1,93.2,99.9,51.7
13,13.0,The University of Chicago,United States,THE World University Rankings 2024,15792.0,6.2,92.1,95.04,0.1613,36.0,89.6,93.83,92.1,89.6,91.2,97.6,93.8,82.3
14,14.0,Peking University,China,THE World University Rankings 2024,33064.0,10.9,91.8,91.24,0.0917,14.0,95.6,93.99,91.8,95.6,97.3,87.2,98.8,70.2
15,15.0,Johns Hopkins University,United States,THE World University Rankings 2024,15772.0,4.1,91.1,95.24,0.2439,28.0,84.4,95.17,91.1,84.4,92.3,97.2,100.0,84.2
