Rank,Previous_Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,Academic_Reputation_SCORE,Academic_Reputation_RANK,Employer_Reputation_SCORE,Employer_Reputation_RANK,Faculty_Student_Ratio_SCORE,Faculty_Student_Ratio_RANK,Citations_per_Faculty_SCORE,Citations_per_Faculty_RANK,International_Faculty_SCORE,International_Faculty_RANK,International_Student_SCORE,International_student_RANK,International_Students_Diversity_SCORE,International_Students_Diversity_RANK,International_Research_Network_SCORE,International_Research_Network_RANK,Employment_Outcomes_SCORE,Employment_Outcomes_RANK,Sustainability_SCORE,Sustainability_RANK,Overall_SCORE,the_rank_2026,arwu_rank_2025,the_score,arwu_score,the_teaching,the_research_env,the_research_quality,the_industry,the_intl_outlook,founded,Total_Students,International_Students_Percentage,nobel_laureates,fields_medalists,ranked_in_all_3,avg_rank_all3,university_age_2026,data_sources,university_type,university_age,Overall_Score_Normalized,Performance_Category,Rank_Category,the_score_Normalized,arwu_score_Normalized
1,1,Massachusetts Institute of Technology (MIT),United States of America,Americas,M,CO,VH,Private not for Profit,100,4,100,2,100,16,100,7,100,63,91.6,153,92.3,130,94.1,98,100,7,93.8,33,100,2,3,96.4,100,91.5,99.8,97.2,80.2,74.2,1861,11858,34,100,1,1,2,165,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,165,1,Excellent,Top 10,0.988142292,1
2,2,Imperial College London,United Kingdom,Europe,L,FO,VH,Public,99.6,22,100,9,99.3,42,95,69,100,74,100,35,100,22,97.5,28,95.9,68,98.3,7,99.4,8,18,86.1,65.1,83.4,92.1,87.4,80.4,55.2,1907,19000,61,15,0,0,5,119,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,119,0.986455982,Excellent,Top 10,0.78458498,0.475975976
3,6,Stanford University,United States of America,Americas,L,FC,VH,Private not for Profit,100,5,100,3,100,17,99.7,24,94.2,188,73.5,261,76.1,230,96.5,49,100,2,95.4,19,98.9,5,2,95.5,76.5,95.2,99.6,99.4,77.6,88.4,1885,17249,24,85,22,1,3.3,141,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,141,0.9751693,Excellent,Top 10,0.970355731,0.647147147
4,3,University of Oxford,United Kingdom,Europe,L,FC,VH,Public,100,2,100,4,100,9,91,98,98.8,132,98.6,80,98.7,67,100,1,100,3,77.9,198,97.9,1,6,97,72.4,97.8,98.4,95.8,78.8,66.4,1096,24000,41,72,0,1,3.7,930,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,930,0.952595937,Excellent,Top 10,1,0.585585586
5,4,Harvard University,United States of America,Americas,L,FC,VH,Private not for Profit,100,1,100,1,98.3,50,100,1,79.1,300,81.4,217,60.6,335,99.4,8,100,1,77.8,201,97.7,5,1,95.5,100,95.4,99.2,97.4,79.2,77.4,1636,21000,25,162,4,1,3.7,390,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,390,0.948081264,Excellent,Top 10,0.970355731,1
6,5,University of Cambridge,United Kingdom,Europe,L,FC,VH,Public,100,3,100,5,100,23,88.6,107,100,80,93.1,144,93.6,120,99.2,12,100,5,78.4,194,97.2,3,4,96.2,83.2,96.4,98.8,96.2,78.4,68.4,1209,24500,38,121,1,1,4.3,817,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,817,0.936794582,Excellent,Top 10,0.984189723,0.747747748
7,7,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,Europe,L,FO,VH,Public,99.7,18,96.3,42,71.7,214,98.8,40,100,28,99.3,58,73.9,241,95.8,64,95,76,99.6,2,96.7,7,22,87.4,55.8,85.4,88.4,85.2,77.4,99.8,1855,24500,41,32,1,1,12,171,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,171,0.925507901,Excellent,Top 10,0.81027668,0.336336336
8,8,National University of Singapore (NUS),Singapore,Asia,XL,FC,VH,Public,99.9,14,98.2,32,71.5,216,95.9,64,100,37,96.9,101,72.1,253,92.4,140,100,9,90,63,95.9,17,18,84.6,65.1,80.8,85.4,80.2,72.4,100,1905,40000,36,3,0,0,12.5,121,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,121,0.90744921,Excellent,Top 10,0.754940711,0.475975976
9,9,UCL (University College London),United Kingdom,Europe,XL,FC,VH,Public,99.9,15,99.4,18,94.8,77,80.9,151,99.6,108,100,27,100,17,99.9,2,89.3,111,98.5,5,95.8,9,18,86,65.1,85.4,88.8,80.4,76.8,72.4,1826,39000,56,14,0,0,9,200,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,200,0.905191874,Excellent,Top 10,0.782608696,0.475975976
10,10,California Institute of Technology (Caltech),United States of America,Americas,S,FO,VH,Private not for Profit,98.3,33,99.2,23,100,5,100,3,100,65,90.7,161,91.4,136,61.8,665,49.1,352,79.2,185,94.3,7,9,87.4,65.8,85.4,99.2,97.4,72.4,60,1891,2240,32,46,6,1,8.7,135,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,135,0.871331828,Excellent,Top 10,0.81027668,0.486486486
