2024 RANK,2023 RANK,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE,rank_order,rank,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,female_student_pct,stats_proportion_of_isr,subjects_offered,University_Name,Master_Country
336.0,330.0,L,FC,VH,3,A,20.0,442.0,22.2,424.0,31.5,500.0,42.4,317,76.4,244.0,18.2,570.0,79.2,151.0,14.7,569.0,35.8,393.0,32.2,2020.0,225.5,0.0,2020.0,33.7,509.0,45.0,187.0,83.0,260.0,80.6,256.0,72.4,372.0,17275.0,14.9,12.0,54.0,34.0,"Art, Performing Arts & Design,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Computer Science,Chemical Engineering,Law,Civil Engineering,Geography,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Chemistry,Accounting & Finance,Other Health,Biological Sciences,Communication & Media Studies,Agriculture & Forestry,Sociology,Medicine & Dentistry,Mathematics & Statistics,Education,Architecture,Physics & Astronomy,Business & Management,History, Philosophy & Theology,Sport Science,Psychology",Aalborg University,Denmark
109.0,116.0,L,FO,VH,2,A,44.6,187.0,41.8,223.0,40.2,391.0,79.4,112,95.5,147.0,37.7,363.0,56.2,277.0,88.9,39.0,95.0,53.0,58.7,2030.0,225.5,0.0,2030.0,42.0,261.0,43.1,208.0,79.7,326.0,87.2,184.0,81.8,225.0,14427.0,20.4,23.0,39.0,46.0,"Electrical & Electronic Engineering,Art, Performing Arts & Design,Education,Business & Management,Computer Science,Communication & Media Studies,Accounting & Finance,Chemistry,Mathematics & Statistics,Physics & Astronomy,Architecture,Economics & Econometrics,Psychology,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering,General Engineering",Aalto University,Finland
143.0,161.0,L,FC,VH,4,A,55.8,140.0,24.7,387.0,32.5,490.0,54.1,238,90.3,181.0,13.1,661.0,94.8,56.0,45.1,156.0,98.4,18.0,52.0,1090.0,109.0,65.9,1090.0,44.9,205.0,59.0,89.0,86.3,186.0,98.7,75.0,76.3,307.0,26996.0,13.5,9.0,56.0,25.0,"Other Health,Sport Science,Law,Computer Science,Mathematics & Statistics,Education,Veterinary Science,Geography,Economics & Econometrics,Electrical & Electronic Engineering,Communication & Media Studies,Biological Sciences,Politics & International Studies (incl Development Studies),Archaeology,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,Medicine & Dentistry,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Psychology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry",Aarhus University,Denmark
665.5,675.5,M,CO,VH,5,A,9.5,601.0,6.4,601.0,19.5,680.0,23.5,507,46.1,374.0,49.5,300.0,27.1,482.0,10.5,701.0,9.6,678.0,0.0,5040.0,550.5,0.0,5040.0,26.3,919.0,23.0,685.0,68.5,594.0,62.4,604.0,87.3,161.0,6180.0,15.6,23.0,51.0,30.0,"Economics & Econometrics,Communication & Media Studies,Electrical & Electronic Engineering,Sport Science,Education,History, Philosophy & Theology,Law,Business & Management,Mathematics & Statistics,Veterinary Science,Biological Sciences,Accounting & Finance,Physics & Astronomy,Sociology,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Geography,Other Health,Geology, Environmental, Earth & Marine Sciences,Computer Science,Art, Performing Arts & Design,Languages, Literature & Linguistics,Psychology",Aberystwyth University,United Kingdom
580.0,675.5,S,SP,Unknown,2,C,11.5,601.0,17.9,490.0,12.6,701.0,12.4,689,100.0,5.0,99.9,32.0,1.2,701.0,11.3,701.0,1.1,701.0,20.4,2500.0,275.5,0.0,2500.0,40.8,281.0,30.0,471.0,85.8,192.0,25.5,1316.0,97.8,9.0,2506.0,10.9,60.0,51.0,36.0,"Psychology,Communication & Media Studies,Business & Management,Sport Science,Agriculture & Forestry,Economics & Econometrics,Mathematics & Statistics,Accounting & Finance,Other Health,Art, Performing Arts & Design,Chemical Engineering,General Engineering,Education,Physics & Astronomy,Biological Sciences,Archaeology,Medicine & Dentistry,Languages, Literature & Linguistics,History, Philosophy & Theology,Chemistry,Architecture,Veterinary Science,Politics & International Studies (incl Development Studies),Law,Civil Engineering,Geography,Computer Science,Sociology",Abu Dhabi University,United Arab Emirates
735.5,900.5,L,CO,VH,5,A,15.8,554.0,8.7,601.0,29.7,523.0,5.0,701,7.0,701.0,7.0,701.0,59.5,247.0,12.6,689.0,38.4,373.0,0.0,10040.0,1100.5,0.0,10040.0,19.7,1397.0,28.4,506.0,43.5,1155.0,29.6,1194.0,37.8,1205.0,33268.0,25.0,6.0,68.0,28.0,"History, Philosophy & Theology,Law,Chemistry,Sociology,Psychology,Computer Science,Archaeology,Politics & International Studies (incl Development Studies),Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Geography,Communication & Media Studies,Mathematics & Statistics,Art, Performing Arts & Design,Business & Management,Languages, Literature & Linguistics,Physics & Astronomy,Education","Adam Mickiewicz University, Poznań",Poland
387.0,490.0,XL,FC,VH,5,A,36.1,241.0,4.5,601.0,8.3,701.0,26.5,468,18.5,609.0,19.9,549.0,99.4,13.0,11.3,701.0,64.5,228.0,28.3,3520.0,375.5,0.0,3520.0,43.0,237.0,27.2,533.0,71.9,509.0,63.2,583.0,76.3,308.0,72946.0,17.3,14.0,60.0,26.0,"Geography,Other Health,Medicine & Dentistry,Languages, Literature & Linguistics,Economics & Econometrics,Biological Sciences,General Engineering,Mathematics & Statistics,Civil Engineering,Sport Science,Law,Chemical Engineering,Education,Architecture,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Business & Management,Physics & Astronomy,Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies,Chemistry,Computer Science,Accounting & Finance,Electrical & Electronic Engineering,Archaeology,Geology, Environmental, Earth & Marine Sciences,Psychology,Art, Performing Arts & Design",Aix-Marseille University,France
1300.5,1300.5,XL,CO,VH,4,A,11.2,601.0,6.8,601.0,11.1,701.0,1.3,701,1.5,701.0,10.4,701.0,5.2,701.0,13.6,628.0,1.2,701.0,0.0,8070.0,900.5,0.0,8070.0,19.2,1449.0,10.9,1534.0,69.2,576.0,20.4,1516.0,57.4,634.0,269733.0,22.0,9.0,42.0,24.0,"Chemistry,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Mathematics & Statistics,Psychology,Languages, Literature & Linguistics,Sport Science,Accounting & Finance,General Engineering,Civil Engineering,Other Health,Physics & Astronomy,Business & Management,Computer Science,Veterinary Science,Agriculture & Forestry,Economics & Econometrics,Biological Sciences,Chemical Engineering,Medicine & Dentistry,Mechanical & Aerospace Engineering",Al-Azhar University,Egypt
1401.0,1300.5,L,FC,MD,3,A,5.0,601.0,6.7,601.0,4.3,701.0,2.4,701,3.8,701.0,1.8,701.0,2.0,701.0,7.6,701.0,1.0,701.0,0.0,10090.0,1100.5,0.0,10090.0,12.0,1876.0,13.6,1236.0,59.2,802.0,22.5,1417.0,39.3,1140.0,27973.0,27.3,2.0,59.0,36.0,"Accounting & Finance,Medicine & Dentistry,Business & Management,Law,Chemical Engineering,Physics & Astronomy,Biological Sciences,Chemistry,General Engineering,Electrical & Electronic Engineering,Mathematics & Statistics,Computer Science,Education,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,Sociology,Other Health,Civil Engineering,Agriculture & Forestry,Architecture,Economics & Econometrics",Al-Balqa Applied University,Jordan
230.0,150.0,L,FC,HI,4,A,51.4,155.0,74.9,85.0,98.9,38.0,1.4,701,28.8,497.0,34.0,386.0,12.0,634.0,11.5,701.0,5.1,701.0,41.6,12090.0,1350.5,0.0,12090.0,24.8,1014.0,11.1,1509.0,27.1,1517.0,25.3,1325.0,72.5,371.0,24303.0,5.9,10.0,59.0,37.0,"Electrical & Electronic Engineering,Law,Sport Science,Communication & Media Studies,Accounting & Finance,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Other Health,Physics & Astronomy,Business & Management,Medicine & Dentistry,General Engineering,Chemistry,Archaeology,Chemical Engineering,Psychology,Computer Science,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Sociology,History, Philosophy & Theology,Mathematics & Statistics,Geography,Languages, Literature & Linguistics,Civil Engineering,Education",Al-Farabi Kazakh National University,Kazakhstan
