Institution_Name,Country,Country_Code,Region,Size,Focus,Research,Age,Status,Rank_2026,Previous_Rank_2025,Rank_2024,Rank_2023,Overall_Score_2026,Overall_Score_2024,Academic_Reputation_Score_2026,Academic_Reputation_Rank_2026,Employer_Reputation_Score_2026,Employer_Reputation_Rank_2026,Faculty_Student_Score_2026,Faculty_Student_Rank_2026,Citations_per_Faculty_Score_2026,Citations_per_Faculty_Rank_2026,International_Faculty_Score_2026,International_Faculty_Rank_2026,International_Students_Score_2026,International_Students_Rank_2026,International_Students_Diversity_Score_2026,International_Students_Diversity_Rank_2026,International_Research_Network_Score_2026,International_Research_Network_Rank_2026,Employment_Outcomes_Score_2026,Employment_Outcomes_Rank_2026,Sustainability_Score_2026,Sustainability_Rank_2026,Academic_Reputation_Score_2024,Academic_Reputation_Rank_2024,Employer_Reputation_Score_2024,Employer_Reputation_Rank_2024,Faculty_Student_Score_2024,Faculty_Student_Rank_2024,Citations_per_Faculty_Score_2024,Citations_per_Faculty_Rank_2024,International_Faculty_Score_2024,International_Faculty_Rank_2024,International_Students_Score_2024,International_Students_Rank_2024,International_Research_Network_Score_2024,International_Research_Network_Rank_2024,Employment_Outcomes_Score_2024,Employment_Outcomes_Rank_2024,Sustainability_Score_2024,Sustainability_Rank_2024
Aalborg University,Denmark,DK,Europe,L,FC,VH,3,Public,306,306,=336,330,44.9,32.2,26.4,478,25.0,538,27.7,685,77.2,167,89.0,231,29.4,597,35.4,546,91.7,148,25.4,634,79.1,186,20.0,442,22.2,424,31.5,500,42.4,317,76.4,244,18.2,570,79.2,151,14.7,569,35.8,393=
Aalto University,Finland,FI,Europe,L,FO,VH,2,Public,114,113,109,116=,66.3,58.7,57.5,189,56.1,212,35.1,564,79.6,160,97.2,147,60.0,343,63.9,312,80.9,332,97.1,55,88.3,77,44.6,187,41.8,223,40.2,391,79.4,112,95.5,147,37.7,363,56.2,277,88.9,39,95,53=
Aarhus University,Denmark,DK,Europe,L,FC,VH,4,Public,131,144,=143,161,64.3,52.0,68.3,140,41.7,325,42.4,472,74.1,183,96.7,157,25.5,654,19.1,777,96.3,52,79.4,164,73.2,271=,55.8,140,24.7,387,32.5,490,54.1,238,90.3,181,13.1,661,94.8,56,45.1,156,98.4,18=
Abai Kazakh National Pedagogical University,Kazakhstan,KZ,,L,CO,MD,4,A,,,681-690,511-520,,-,,,,,,,,,,,,,,,,,,,,,23.2,372,17.0,510,47.8,327,1.2,701+,38.0,423,2.8,701+,1.0,701+,12.1,701+,1,701+
Aberystwyth University,United Kingdom,UK,Europe,M,CO,VH,5,Public,741-750,661-670,661-670,651-700,-,-,12.8,701+,11.5,701+,27.6,687,23.9,658,61.3,382=,42.0,475,45.4,457,63.3,646,11.0,801+,63.1,439=,9.5,601+,6.4,601+,19.5,680,23.5,507,46.1,374,49.5,300,27.1,482,10.5,701+,9.6,678=
Abo Akademi University,Finland,FI,Europe,M,CO,VH,5,Public,643,621-630,601-610,601-650,26.9,-,9.5,701+,7.9,701+,22.1,789,53.9,341,60.7,386,43.6,462,32.6,582,59.8,696,13.5,801+,45.2,801+,8.3,601+,6.2,601+,23.6,605,40.7,336,45.2,377,15.5,612,29.5,460,11.5,701+,11.8,644=
Abu Dhabi University,United Arab Emirates,AE,Asia,S,FO,VH,2,Private for Profit,391,501,=580,651-700,38.3,20.4,24.6,518,49.8,256,23.9,755,35.9,518,100.0,5,99.9,44,99.9,32,34.5,801+,10.1,801+,49.6,711=,11.5,601+,17.9,490,12.6,701+,12.4,689,100.0,5,99.9,32,1.2,701+,11.3,701+,1.1,701+
Abylkas Saginov Karaganda Technical University,Kazakhstan,,Asia,M,FO,HI,,Public,951-1000,851-900,,,-,,10.3,701+,16.9,701+,90.3,102,1.3,801+,15.5,794,25.6,652,26.4,665,3.1,801+,7.8,801+,29.7,801+,,,,,,,,,,,,,,,,,,
ADA University,Azerbaijan,,Asia,S,SP,LO,,Public,1201-1400,,,,-,,8.4,701+,22.4,595,62.3,286,1.3,801+,20.2,710,7.7,801+,11.9,801+,5.2,801+,12.0,801+,,,,,,,,,,,,,,,,,,,,
Adam Mickiewicz University,Poland,,Europe,L,CO,VH,,Public,741-750,761-770,,,-,,24.1,528,12.3,701+,45.7,427,8.8,801+,10.9,801+,15.6,801+,21.7,737,88.7,196,15.8,801+,63.6,431,,,,,,,,,,,,,,,,,,
"Adam Mickiewicz University, Poznań",Poland,PL,,L,CO,VH,5,A,,,731-740,801-1000,,-,,,,,,,,,,,,,,,,,,,,,15.8,554,8.7,601+,29.7,523,5.0,701+,7.0,701+,7.0,701+,59.5,247,12.6,689,38.4,373=
Adamson University,Philippines,,Asia,M,CO,MD,,Private for Profit,1001-1200,,,,-,,39.3,306,17.9,701+,7.6,801+,1.7,801+,18.1,741,2.8,801+,7.1,801+,4.8,801+,3.5,801+,10.1,801+,,,,,,,,,,,,,,,,,,
Addis Ababa University,Ethiopia,ET,Africa,XL,FO,VH,,,851-900,771-780,851-900,,-,-,7.8,701+,12.1,701+,65.3,267,2.5,801+,,,,,,,63.8,636,96.9,62,41.7,801+,5.6,601+,10.8,601+,61.1,231,1.7,701+,,,,,14.3,608,54.7,114,,
Adelaide University,Australia,,Oceania,XL,CO,VH,,,82,,,,72.6,,78.3,102,62.7,176,30.5,621,69.8,218,100.0,90,97.5,96,72.5,251,96.7,46,70.4,207,86.1,98=,,,,,,,,,,,,,,,,,,
Aga Khan University,Pakistan,,Asia,S,FO,VH,,Private not for Profit,1001-1200,,,,-,,6.4,701+,10.0,701+,100.0,2,11.4,801+,1.5,801+,2.0,801+,1.7,801+,18.2,801+,8.3,801+,22.6,801+,,,,,,,,,,,,,,,,,,
AGH University of Krakow,Poland,,Europe,L,CO,VH,,Public,801-850,851-900,,,-,,13.1,701+,30.6,465,54.7,344,12.7,801+,4.4,801+,7.3,801+,12.1,801+,75.6,430,4.0,801+,47.4,776=,,,,,,,,,,,,,,,,,,
AGH University of Science and Technology,Poland,PL,,L,CO,VH,5,A,,,901-950,801-1000,,-,,,,,,,,,,,,,,,,,,,,,9.2,601+,15.2,542,37.3,422,7.0,701+,2.7,701+,4.5,701+,13.2,623,8.8,701+,2.5,701+
Ahlia University,Bahrain,BH,Asia,S,SP,HI,2,Private not for Profit,801-850,711-720,751-760,651-700,-,-,18.1,677,9.9,701+,38.4,528,10.3,801+,100.0,51,61.7,330,46.0,454,11.1,801+,12.1,801+,26.4,801+,12.8,601+,8.0,601+,31.7,495,3.0,701+,100.0,73=,31.0,411,1.0,701+,8.3,701+,1,701+
"Ahmadu Bello University, Zaria",Nigeria,,Africa,XL,CO,HI,,,1201-1400,,,,-,,6.3,701+,9.4,701+,10.0,801+,2.2,801+,2.0,801+,1.4,801+,5.8,801+,44.1,801+,80.8,154,28.0,801+,,,,,,,,,,,,,,,,,,
Ain Shams University,Egypt,EG,Africa,XL,FC,VH,4,Public,542,592,721-730,801-1000,30.3,-,35.6,340,38.8,357,17.1,801+,3.5,801+,29.5,590,13.7,801+,19.7,769,80.8,336,69.6,216,56.7,562=,22.4,394,25.4,377,10.2,701+,1.9,701+,25.0,536,5.6,701+,22.2,526,30.2,255,7,701+
Airlangga University,Indonesia,ID,,L,FC,HI,4,A,,,=345,369=,,31.5,,,,,,,,,,,,,,,,,,,,,34.0,254,72.5,95,52.4,301,1.4,701+,44.6,379,6.3,701+,1.4,701+,14.4,582,30.5,444=
Aix-Marseille University,France,FR,Europe,XL,FC,VH,5,Public,428,481,=387,490=,35.9,28.3,51.0,218,15.9,701+,11.0,801+,29.7,591,22.8,678,29.0,604,21.7,734,99.0,15,29.0,571,63.2,436=,36.1,241,4.5,601+,8.3,701+,26.5,468,18.5,609,19.9,549,99.4,13,11.3,701+,64.5,228=
Ajman University,United Arab Emirates,AE,Asia,S,FO,VH,3,Private not for Profit,440,477,=551,651-700,34.9,21.3,27.8,454,51.3,241,15.7,801+,10.2,801+,100.0,8,100.0,4,99.7,37,65.2,621,12.8,801+,46.2,801+,13.6,601+,34.7,279,8.2,701+,2.2,701+,100.0,8,100.0,3,2.0,701+,13.3,644,3,701+
Ajou University,Republic of Korea,,Asia,M,FC,VH,,Private not for Profit,563,631-640,,,29.4,,19.8,623,22.1,600,70.2,230,34.3,530,13.3,801+,58.0,355,58.4,350,18.1,801+,5.3,801+,53.3,636=,,,,,,,,,,,,,,,,,,
Ajou University ,South Korea,KR,,M,FC,VH,4,B,,,631-640,488=,,-,,,,,,,,,,,,,,,,,,,,,15.5,563,15.4,535,65.1,211,17.4,595,6.2,701+,13.7,648,1.1,701+,8.3,701+,5,701+
Akdeniz Üniversitesi,Turkey,TR,Asia,XL,FC,HI,3,Public,1401+,1401+,1401+,1201-1400,-,-,8.3,701+,8.0,701+,5.6,801+,6.1,801+,2.2,801+,6.0,801+,11.4,801+,47.6,801+,2.4,801+,22.1,801+,5.2,601+,3.8,601+,3.4,701+,2.8,701+,1.2,701+,1.1,701+,1.9,701+,7.5,701+,1,701+
