rank,2023 RANK,Institution_name,location_QS,SIZE,FOCUS,RESEARCH,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,scores_overall_QS,Rank,scores_overall_THE,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location_THE,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,Country
2.0,2.0,University of Cambridge,United Kingdom,L,FC,VH,5.0,A,100.0,3.0,100.0,4.0,100.0,14.0,92.3,68.0,100.0,64.0,95.8,85.0,99.9,7.0,100.0,6.0,97.3,33.0,99.2,5.0,97.5,50.0,95.8,7.0,100.0,1.0,98.0,12.0,87.9,180.0,97.4,15.0,United Kingdom,20565,11.5,38,0.888888889,United Kingdom
3.0,4.0,University of Oxford,United Kingdom,L,FC,VH,5.0,A,100.0,2.0,100.0,5.0,100.0,8.0,90.6,73.0,98.2,110.0,98.2,60.0,100.0,1.0,100.0,3.0,97.8,26.0,98.9,1.0,98.5,10.0,96.6,5.0,100.0,2.0,99.0,5.0,98.7,77.0,97.5,14.0,United Kingdom,21750,10.9,42,0.888888889,United Kingdom
4.0,5.0,Harvard University,United States,L,FC,VH,5.0,B,100.0,1.0,100.0,1.0,98.3,44.0,100.0,1.0,84.6,210.0,66.8,223.0,100.0,5.0,100.0,1.0,96.7,39.0,98.3,4.0,97.8,40.0,97.7,3.0,99.9,3.0,99.4,3.0,84.2,216.0,90.8,119.0,United States,20050,9.0,25,0.888888889,United States
5.0,3.0,Stanford University,United States,L,FC,VH,5.0,B,100.0,5.0,100.0,3.0,100.0,11.0,99.9,8.0,99.9,78.0,51.2,284.0,95.8,44.0,100.0,2.0,94.4,63.0,98.1,2.0,98.0,20.0,99.0,1.0,97.8,8.0,99.6,2.0,100.0,25.0,87.0,167.0,United States,14517,6.4,23,0.888888889,United States
6.0,6.0,Imperial College London,United Kingdom,L,FC,VH,5.0,A,98.3,23.0,99.4,12.0,98.5,42.0,94.0,58.0,100.0,61.0,100.0,14.0,96.7,35.0,83.0,45.0,94.4,61.0,97.8,8.0,95.1,80.0,90.9,12.0,95.5,12.0,98.6,8.0,90.9,157.0,98.3,6.0,United Kingdom,20275,11.8,61,0.888888889,United Kingdom
9.0,8.0,UCL,United Kingdom,XL,FC,VH,5.0,A,99.5,13.0,97.9,22.0,98.4,43.0,74.3,131.0,99.1,96.0,100.0,15.0,100.0,2.0,51.6,126.0,92.5,74.0,92.4,22.0,88.1,220.0,78.4,26.0,86.4,24.0,98.6,9.0,75.2,335.0,97.9,8.0,United Kingdom,41110,11.3,61,0.888888889,United Kingdom
12.0,13.0,University of Pennsylvania,United States,L,FC,VH,5.0,B,96.4,29.0,89.1,52.0,99.9,24.0,68.4,153.0,96.0,140.0,70.3,208.0,83.3,129.0,100.0,5.0,99.9,3.0,89.4,16.0,91.0,160.0,87.7,15.0,89.7,21.0,97.6,23.0,97.7,90.0,78.8,268.0,United States,21312,6.2,22,0.888888889,United States
13.0,20.0,Cornell University,United States,L,FC,VH,5.0,B,98.1,26.0,90.5,47.0,52.9,297.0,99.1,18.0,68.7,283.0,64.0,234.0,79.9,144.0,98.0,18.0,94.7,58.0,89.3,20.0,89.5,200.0,85.7,20.0,88.7,22.0,97.6,22.0,69.4,447.0,86.0,175.0,United States,23620,10.0,24,0.888888889,United States
16.0,18.0,Yale University,United States,M,FC,VH,5.0,B,99.9,9.0,99.9,7.0,100.0,3.0,45.8,293.0,89.8,184.0,78.8,169.0,85.8,112.0,99.9,9.0,99.2,13.0,87.7,10.0,94.2,100.0,94.0,10.0,94.9,13.0,97.7,18.0,86.5,192.0,82.4,216.0,United States,11924,5.2,21,0.888888889,United States
17.0,12.0,Peking University,China (Mainland),XL,FC,VH,5.0,A,99.4,14.0,95.4,37.0,90.4,85.0,97.5,38.0,50.8,354.0,23.5,492.0,43.2,353.0,82.6,46.0,68.8,212.0,87.0,14.0,91.8,140.0,95.6,8.0,97.3,9.0,87.2,172.0,98.8,72.0,70.2,404.0,China,33064,10.9,14,0.888888889,China (Mainland)
17.0,16.0,Princeton University,United States,M,CO,VH,5.0,B,99.8,10.0,97.5,23.0,64.5,216.0,100.0,2.0,16.7,640.0,57.5,261.0,52.5,298.0,94.6,27.0,79.3,155.0,87.0,6.0,96.9,60.0,96.3,6.0,97.9,7.0,98.8,7.0,95.1,118.0,89.1,135.0,United States,7753,7.3,23,0.888888889,United States
19.0,41.0,The University of Sydney,Australia,XL,FC,VH,5.0,A,96.0,31.0,87.7,57.0,11.8,701.0,93.5,63.0,99.5,89.0,100.0,13.0,91.9,70.0,88.1,42.0,99.7,7.0,86.7,60.0,73.8,600.0,52.6,115.0,68.9,54.0,92.0,93.0,97.7,91.0,90.2,126.0,Australia,57414,23.1,51,0.888888889,Australia
