qs_2025_rank,qs_2024_rank,qs_institution_name,qs_location,qs_location_full,qs_size,qs_academic_reputation,qs_employer_reputation,qs_faculty_student,qs_citations_per_faculty,qs_international_faculty,qs_international_students,qs_international_research_network,qs_employment_outcomes,qs_sustainability,qs_qs_overall_score,the_rank,the_name,the_scores_overall,the_scores_overall_rank,the_scores_teaching,the_scores_teaching_rank,unnamed_22,the_scores_research,the_scores_citations,the_scores_citations_rank,the_scores_industry_income,the_scores_industry_income_rank,the_scores_international_outlook,the_scores_international_outlook_rank,the_record_type,the_member_level,the_url,the_nid,the_location,the_stats_number_students,the_stats_student_staff_ratio,the_stats_pc_intl_students,the_stats_female_male_ratio,the_aliases,the_subjects_offered,the_closed,the_unaccredited,the_disabled,the_website_url,qs_rank_band,the_rank_band,qs_rank_clean,the_rank_clean,university_name,rank_difference,absolute_rank_difference,qs_rank_category,the_rank_category,ranking_comparison,academic_reputation_score,faculty_student_ratio_score,global_score
1,1,Massachusetts Institute of Technology (MIT),US,United States,M,100.0,100.0,100.0,100.0,99.3,86.8,96.0,100.0,99.0,100,3,Massachusetts Institute of Technology,97.9,30,98.6,2,96.2,11,99.7,1,100.0,16,93.8,66,private,0,/world-university-rankings/massachusetts-institute-technology,471,United States,11085,8.0,0.33,"1 day, 17:59:00",Massachusetts Institute of Technology,"Architecture,Economics & Econometrics,Archaeology,Biological Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Mathematics & Statistics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Art, Performing Arts & Design,Other Health,Physics & Astronomy,Computer Science,Accounting & Finance,Chemical Engineering,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Chemistry",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-68334672,1,3,1.0,3.0,Massachusetts Institute of Technology (MIT),2.0,2.0,Top 10,Top 10,QS Higher,100.0,100.0,99.06
2,6,Imperial College London,UK,United Kingdom,L,98.5,99.5,98.2,93.9,100.0,99.6,97.4,93.4,99.7,98.5,8,Imperial College London,95.1,80,90.9,12,95.5,12,98.6,8,90.9,157,98.3,6,master_account,0,/world-university-rankings/imperial-college-london,472,United Kingdom,20275,11.8,0.61,"1 day, 18:58:00",Imperial College London,"Computer Science,Mechanical & Aerospace Engineering,Chemical Engineering,Physics & Astronomy,Other Health,Mathematics & Statistics,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Civil Engineering",False,False,False,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67704114,2,8,2.0,8.0,Imperial College London,6.0,6.0,Top 10,Top 10,QS Higher,98.5,98.2,97.58
3,3,University of Oxford,UK,United Kingdom,L,100.0,100.0,100.0,84.8,98.1,97.7,100.0,100.0,85.0,96.9,1,University of Oxford,98.5,10,96.6,5,100.0,2,99.0,5,98.7,77,97.5,14,master_account,0,/world-university-rankings/university-oxford,468,United Kingdom,21750,10.9,0.42,"2 days, 1:51:00",University of Oxford,"Geography,Chemistry,Chemical Engineering,Biological Sciences,General Engineering,Computer Science,Art, Performing Arts & Design,Communication & Media Studies,Electrical & Electronic Engineering,Law,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Medicine & Dentistry,Languages, Literature & Linguistics,Business & Management,Accounting & Finance,Mechanical & Aerospace Engineering,Mathematics & Statistics,Physics & Astronomy,Psychology,Other Health,Archaeology,Sociology,Civil Engineering,Education",False,False,False,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-92611101,3,1,3.0,1.0,University of Oxford,-2.0,2.0,Top 10,Top 10,THE Higher,100.0,100.0,96.0
4,4,Harvard University,US,United States,L,100.0,100.0,96.3,100.0,74.1,69.0,99.6,100.0,84.4,96.8,4,Harvard University,97.8,40,97.7,3,99.9,3,99.4,3,84.2,216,90.8,119,private,0,/world-university-rankings/harvard-university,466,United States,20050,9.0,0.25,"2 days, 3:49:00",Harvard University,"Sociology,Architecture,Physics & Astronomy,Psychology,Mechanical & Aerospace Engineering,Law,Chemical Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,Communication & Media Studies,Mathematics & Statistics,History, Philosophy & Theology,Languages, Literature & Linguistics,Agriculture & Forestry,Education,Computer Science,Business & Management,Geography,Accounting & Finance,Politics & International Studies (incl Development Studies),Chemistry,Archaeology,Art, Performing Arts & Design,Other Health,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Civil Engineering",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-48698023,4,4,4.0,4.0,Harvard University,0.0,0.0,Top 10,Top 10,Same Rank,100.0,96.3,95.98
5,2,University of Cambridge,UK,United Kingdom,L,100.0,100.0,100.0,84.6,100.0,94.8,99.3,100.0,84.8,96.7,5,University of Cambridge,97.5,50,95.8,7,100.0,1,98.0,12,87.9,180,97.4,15,master_account,0,/world-university-rankings/university-cambridge,470,United Kingdom,20565,11.5,0.38,"2 days, 0:52:00",University of Cambridge,"Politics & International Studies (incl Development Studies),Biological Sciences,Business & Management,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Psychology,General Engineering,Physics & Astronomy,Chemical Engineering,Chemistry,Economics & Econometrics,History, Philosophy & Theology,Computer Science,Accounting & Finance,Education,Veterinary Science,Electrical & Electronic Engineering,Geography,Other Health,Architecture,Art, Performing Arts & Design,Law,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Archaeology,Languages, Literature & Linguistics",False,False,False,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67516113,5,5,5.0,5.0,University of Cambridge,0.0,0.0,Top 10,Top 10,Same Rank,100.0,100.0,95.86
6,5,Stanford University,US,United States,L,100.0,100.0,100.0,99.0,70.3,60.8,96.8,100.0,81.2,96.1,2,Stanford University,98,20,99.0,1,97.8,8,99.6,2,100.0,25,87.0,167,private,0,/world-university-rankings/stanford-university,467,United States,14517,6.4,0.23,"1 day, 23:53:00",Stanford University,"Computer Science,Communication & Media Studies,Electrical & Electronic Engineering,Mathematics & Statistics,Education,Medicine & Dentistry,Civil Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Veterinary Science,Economics & Econometrics,Other Health,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Chemistry,Sociology,Art, Performing Arts & Design,Chemical Engineering,Business & Management,General Engineering,Physics & Astronomy,Archaeology,Agriculture & Forestry,Law,Languages, Literature & Linguistics,Biological Sciences,Psychology",False,False,False,,6,2,6.0,2.0,Stanford University,-4.0,4.0,Top 10,Top 10,THE Higher,100.0,100.0,95.26
9,9,UCL,UK,United Kingdom,XL,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,91.6,22,UCL,88.1,220,78.4,26,86.4,24,98.6,9,75.2,335,97.9,8,master_account,0,/world-university-rankings/ucl,481,United Kingdom,41110,11.3,0.61,"2 days, 11:41:00",UCL ucl UCL,"Medicine & Dentistry,Sport Science,Law,General Engineering,Physics & Astronomy,Mathematics & Statistics,Communication & Media Studies,Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),Business & Management,Computer Science,Education,Architecture,Electrical & Electronic Engineering,Psychology,Other Health,Sociology,Biological Sciences,Geography,History, Philosophy & Theology,Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Archaeology,Mechanical & Aerospace Engineering,Chemistry",False,False,False,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-15171793,9,22,9.0,22.0,UCL,13.0,13.0,Top 10,11-50,QS Higher,99.5,95.9,90.82
11,12,University of Pennsylvania,US,United States,L,96.3,91.9,99.8,74.0,90.9,66.2,91.9,100.0,93.0,90.3,16,University of Pennsylvania,91,160,87.7,15,89.7,21,97.6,23,97.7,90,78.8,268,private,0,/world-university-rankings/university-pennsylvania,480,United States,21312,6.2,0.22,"2 days, 6:46:00",University of Pennsylvania,"Other Health,Physics & Astronomy,Accounting & Finance,General Engineering,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Biological Sciences,Sociology,Archaeology,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Architecture,Geography,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Psychology,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,Veterinary Science,Education,Chemical Engineering,Law,Business & Management,Computer Science,Communication & Media Studies",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-31733092,11,16,11.0,16.0,University of Pennsylvania,5.0,5.0,11-50,11-50,QS Higher,96.3,99.8,89.56
13,14,The University of Melbourne,AU,Australia,XL,98.5,93.9,15.4,93.0,95.1,99.8,97.4,96.5,99.6,88.9,37,University of Melbourne,79.2,370,64.8,57,76.4,40,90.1,126,98.3,84,92.7,90,master_account,0,/world-university-rankings/university-melbourne,501,Australia,51307,25.1,0.47,"2 days, 10:42:00",University of Melbourne UniMelb Australia,"Other Health,Economics & Econometrics,Biological Sciences,Electrical & Electronic Engineering,Civil Engineering,Accounting & Finance,Chemical Engineering,Mathematics & Statistics,Sociology,Archaeology,Computer Science,Geography,Languages, Literature & Linguistics,Law,Physics & Astronomy,General Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Sport Science,Business & Management,History, Philosophy & Theology,Chemistry,Architecture,Education,Medicine & Dentistry,Veterinary Science,Agriculture & Forestry,Communication & Media Studies,Psychology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering",False,False,False,https://www.timeshighereducation.com/student/register-interest/aecc?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-84190491,13,37,13.0,37.0,The University of Melbourne,24.0,24.0,11-50,11-50,QS Higher,98.5,15.4,88.2
14,17,Peking University,CN,China (Mainland),XL,99.5,96.6,92.6,97.7,50.3,23.6,79.8,94.2,46.9,88.5,14,Peking University,91.8,140,95.6,8,97.3,9,87.2,172,98.8,72,70.2,404,master_account,0,/world-university-rankings/peking-university,514,China,33064,10.9,0.14,,Peking University,"History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Politics & International Studies (incl Development Studies),Archaeology,Communication & Media Studies,Business & Management,Other Health,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Chemistry,Accounting & Finance,Languages, Literature & Linguistics,Mathematics & Statistics,Education,Art, Performing Arts & Design,Electrical & Electronic Engineering,Law,General Engineering,Geography,Biological Sciences,Psychology",False,False,False,,14,14,14.0,14.0,Peking University,0.0,0.0,11-50,11-50,Same Rank,99.5,92.6,87.88
