university,year_QS,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,University_Standard,year_THE,Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
Massachusetts Institute of Technology (MIT),2022,1,100.0,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,Private,Very High,4.0,"3,730",M,"3,065",Massachusetts Institute of Technology,2022,5,Massachusetts Institute of Technology,United States,94.6,90.9,94.4,99.7,93.7,89.9,=
University of Oxford,2022,2,99.5,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,Public,Very High,3.0,"8,442",L,"6,708",University of Oxford,2022,1,University of Oxford,United Kingdom,95.7,91.0,99.6,98.0,74.4,96.3,
Stanford University,2022,3,98.7,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,Private,Very High,3.0,"3,879",L,"4,725",Stanford University,2022,4,Stanford University,United States,94.9,92.3,96.8,99.9,91.0,79.7,
University of Cambridge,2022,3,98.7,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,Public,Very high,4.0,"7,925",L,"5,800",University of Cambridge,2022,5,University of Cambridge,United Kingdom,94.6,90.9,99.5,96.2,56.7,95.8,=
Harvard University,2022,5,98.0,https://www.topuniversities.com/universities/harvard-university,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,Private,Very High,5.0,"5,877",L,"4,646",Harvard University,2022,2,Harvard University,United States,95.0,94.5,98.9,99.2,48.9,79.8,=
California Institute of Technology (Caltech),2022,6,97.4,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,Private,Very High,2.0,692,S,968,California Institute of Technology,2022,2,California Institute of Technology,United States,95.0,93.6,96.9,97.8,90.4,83.8,=
Imperial College London,2022,7,97.3,https://www.topuniversities.com/universities/imperial-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,Public,Very High,5.0,"11,143",L,"8,000",Imperial College London,2022,12,Imperial College London,United Kingdom,89.3,81.4,88.3,97.6,70.8,97.5,
UCL,2022,8,95.4,https://www.topuniversities.com/universities/ucl,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,Public,Very High,5.0,"21,824",XL,"7,195",UCL,2022,18,UCL,United Kingdom,87.2,76.8,88.9,96.9,44.7,96.7,=
University of Chicago,2022,10,94.5,https://www.topuniversities.com/universities/university-chicago,United States,Chicago,North America,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,Private,Very High,6.0,"4,696",L,"2,703",University of Chicago,2022,10,The University of Chicago,United States,89.8,87.2,90.6,98.3,56.3,74.4,
University of Pennsylvania,2022,13,90.7,https://www.topuniversities.com/universities/university-pennsylvania,United States,Philadelphia,North America,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg,Private,Very High,4.0,"4,636",L,"5,154",University of Pennsylvania,2022,13,University of Pennsylvania,United States,88.4,84.5,89.2,97.1,77.6,69.7,=
