University,Year,Country,City,Region,University_Type,QS_Rank,QS_Score,THE_Rank,THE_Overall,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry,THE_International_Outlook,Research_Output,Student_Faculty_Ratio,International_Students,Faculty_Count,University_Size
Massachusetts Institute of Technology,2022,United States,Cambridge,North America,Private,1,100.0,5,94.6,90.9,94.4,99.7,93.7,89.9,Very High,4.0,3730.0,3065.0,M
University of Oxford,2022,United Kingdom,Oxford,Europe,Public,2,99.5,1,95.7,91.0,99.6,98.0,74.4,96.3,Very High,3.0,8442.0,6708.0,L
Stanford University,2022,United States,Stanford,North America,Private,3,98.7,4,94.9,92.3,96.8,99.9,91.0,79.7,Very High,3.0,3879.0,4725.0,L
University of Cambridge,2022,United Kingdom,Cambridge,Europe,Public,3,98.7,5,94.6,90.9,99.5,96.2,56.7,95.8,Very high,4.0,7925.0,5800.0,L
Harvard University,2022,United States,Cambridge,North America,Private,5,98.0,2,95.0,94.5,98.9,99.2,48.9,79.8,Very High,5.0,5877.0,4646.0,L
California Institute of Technology,2022,United States,Pasadena,North America,Private,6,97.4,2,95.0,93.6,96.9,97.8,90.4,83.8,Very High,2.0,692.0,968.0,S
Imperial College London,2022,United Kingdom,London,Europe,Public,7,97.3,12,89.3,81.4,88.3,97.6,70.8,97.5,Very High,5.0,11143.0,8000.0,L
UCL,2022,United Kingdom,London,Europe,Public,8,95.4,18,87.2,76.8,88.9,96.9,44.7,96.7,Very High,5.0,21824.0,7195.0,XL
University of Chicago,2022,United States,Chicago,North America,Private,10,94.5,10,89.8,87.2,90.6,98.3,56.3,74.4,Very High,6.0,4696.0,2703.0,L
University of Pennsylvania,2022,United States,Philadelphia,North America,Private,13,90.7,13,88.4,84.5,89.2,97.1,77.6,69.7,Very High,4.0,4636.0,5154.0,L
Yale University,2022,United States,New Haven,North America,Private,14,90.2,9,90.8,90.7,93.0,97.0,56.2,69.9,Very High,2.0,2537.0,5391.0,M
Columbia University,2022,United States,New York City,North America,Private,19,88.7,11,89.6,87.8,89.6,97.3,48.0,79.8,Very High,4.0,11252.0,7087.0,L
Princeton University,2022,United States,Princeton,North America,Private,20,88.6,7,93.6,89.5,96.0,99.0,88.8,80.7,Very High,8.0,1912.0,1050.0,M
Cornell University,2022,United States,Ithaca,North America,Private,21,88.3,22,85.0,78.6,85.4,97.2,38.3,75.4,Very High,8.0,5675.0,2843.0,L
University of Michigan-Ann Arbor,2022,United States,Ann Arbor,North America,Public,23,86.2,24,83.1,78.6,85.4,94.0,48.9,59.5,Very High,6.0,7341.0,7132.0,XL
Johns Hopkins University,2022,United States,Baltimore,North America,Private,25,85.9,13,88.4,80.0,90.8,97.2,93.7,74.6,Very High,3.0,5070.0,4855.0,L
University of Toronto,2022,Canada,Toronto,North America,Public,26,85.3,18,87.2,77.6,93.0,92.6,61.2,89.1,Very high,8.0,27536.0,9881.0,XL
McGill University,2022,Canada,Montreal,North America,Public,27,84.0,44,73.4,63.3,70.9,83.9,45.3,91.5,Very High,7.0,10827.0,3876.0,L
Northwestern University,2022,United States,Evanston,North America,Private,30,82.8,24,83.1,74.3,82.1,97.6,81.6,65.3,Very High,5.0,3846.0,3652.0,L
Kyoto University,2022,Japan,Kyoto,Asia,Public,33,82.3,61,69.6,78.5,78.9,58.3,80.8,38.2,Very High,6.0,2863.0,3911.0,L
Seoul National University,2022,South Korea,Seoul,Asia,Public,36,81.7,54,70.0,73.8,73.8,68.5,98.2,36.9,Very High,7.0,1914.0,3859.0,L
University of British Columbia,2022,Canada,Vancouver,North America,Public,46,77.1,37,75.8,61.6,74.0,89.4,47.4,94.9,Very High,9.0,15399.0,6201.0,XL
Institut Polytechnique de Paris,2022,France,Palaiseau Cedex,Europe,Public,49,75.9,91,63.3,57.3,54.7,69.0,77.1,94.5,Very High,6.0,2413.0,1057.0,M
Technical University of Munich,2022,Germany,Munich,Europe,Public,50,75.6,38,75.6,64.5,74.8,85.5,100.0,76.1,Very High,5.0,11447.0,6663.0,XL
Duke University,2022,United States,Durham,North America,Private,52,75.2,23,83.5,79.2,78.6,95.6,99.0,66.6,Very High,3.0,3445.0,5673.0,L
Carnegie Mellon University,2022,United States,Pittsburgh,North America,Private,53,74.6,28,80.6,64.7,80.0,99.0,59.0,80.8,Very High,9.0,5739.0,1534.0,L
University of Amsterdam,2022,Netherlands,Amsterdam,Europe,Public,55,73.8,65,68.9,49.0,63.3,91.6,41.6,89.8,Very High,11.0,7969.0,6000.0,XL
Delft University of Technology,2022,Netherlands,Delft,Europe,Public,57,73.1,75,65.8,57.1,71.1,59.4,97.7,93.6,Very High,10.0,6104.0,2041.0,L
Monash University,2022,Australia,Melbourne,Oceania,Public,58,72.2,57,69.9,54.3,61.7,87.7,79.2,91.0,Very High,15.0,31049.0,3852.0,XL
Brown University,2022,United States,Providence,North America,Private,60,71.3,64,69.1,62.2,56.6,92.9,37.4,61.9,Very High,7.0,2002.0,1389.0,M
University of Bristol,2022,United Kingdom,Bristol,Europe,Public,62,71.0,92,63.1,40.6,49.2,94.7,43.7,89.1,Very High,8.0,7483.0,20311.0,L
University of Texas at Austin,2022,United States,Austin,North America,Public,67,68.4,47,72.9,67.9,71.5,89.4,50.1,39.8,Very High,17.0,4953.0,2887.0,XL
National Taiwan University (NTU),2022,Taiwan,Taipei City,Asia,Public,68,68.2,113,61.0,55.8,64.7,64.8,75.4,46.9,Very High,10.0,5058.0,2939.0,L
KU Leuven,2022,Belgium,Leuven,Europe,Public,70,67.2,42,73.6,59.1,73.2,86.2,99.2,74.2,Very High,18.0,8485.0,2677.0,XL
University of Zurich,2022,Switzerland,Zürich,Europe,Public,70,67.2,75,65.8,52.2,49.6,89.4,61.9,92.5,Very High,6.0,5044.0,3761.0,L
Sorbonne University,2022,France,Unknown,Europe,Public,72,67.1,88,63.6,61.0,53.6,76.6,38.2,70.4,Very High,9.0,8782.0,4680.0,XL
University of Glasgow,2022,United Kingdom,Glasgow,Europe,Public,73,66.8,86,63.7,41.9,49.9,94.0,40.7,93.1,Very High,9.0,11065.0,3314.0,L
Korea University,2022,South Korea,Seoul,Asia,Private,74,66.3,201–250,50.4–53.9,47.4,47.0,63.4,91.9,50.9,Very High,6.0,3325.0,4026.0,L
University of Wisconsin-Madison,2022,United States,Madison,North America,Public,75,66.2,58,69.8,67.4,69.5,79.2,47.5,50.4,Very High,8.0,5737.0,5166.0,XL
University of Southampton,2022,United Kingdom,Southampton,Europe,Public,77,65.7,124,59.9,39.9,42.1,90.6,43.4,94.5,Very High,9.0,8417.0,2468.0,L
University of Copenhagen,2022,Denmark,Copenhagen,Europe,Public,79,65.5,96,62.7,46.8,47.1,88.8,54.4,86.8,Very High,4.0,4135.0,7293.0,XL
Durham University,2022,United Kingdom,Durham,Europe,Public,82,65.2,162,56.7,44.9,47.8,69.7,37.8,93.8,Very High,11.0,6174.0,1775.0,L
Tohoku University,2022,Japan,Sendai City,Asia,Public,82,65.2,201–250,50.4–53.9,56.6,58.7,37.8,97.2,49.5,Very High,5.0,1872.0,3323.0,L
University of Illinois at Urbana-Champaign,2022,United States,Champaign,North America,Public,82,65.2,48,72.6,65.7,77.3,80.9,50.0,55.4,Very High,17.0,9987.0,2748.0,XL
University of Washington,2022,United States,Seattle,North America,Public,85,65.0,29,79.8,68.8,78.8,99.0,46.3,61.7,Very High,15.0,7362.0,2796.0,XL
Université Paris-Saclay,2022,France,Unknown,Europe,Public,86,64.9,117,60.4,51.6,47.9,80.2,56.4,68.2,Very High,5.0,7649.0,8010.0,XL
Lund University,2022,Sweden,Lund,Europe,Public,87,63.8,116,60.8,39.6,53.1,83.1,82.0,79.9,Very High,9.0,6682.0,3040.0,L
Georgia Institute of Technology,2022,United States,Atlanta,North America,Public,88,63.5,45,73.3,58.2,69.4,91.4,71.4,77.7,Very High,19.0,5675.0,1267.0,L
KTH Royal Institute of Technology,2022,Sweden,Stockholm,Europe,Public,89,63.2,201–250,50.4–53.9,38.8,44.7,56.0,69.8,90.2,Very High,8.0,3057.0,3600.0,L
University of Birmingham,2022,United Kingdom,Birmingham,Europe,Public,90,62.9,105,61.5,40.3,45.2,93.3,40.6,91.7,Very High,9.0,10457.0,3586.0,XL
University of St Andrews,2022,United Kingdom,St. Andrews,Europe,Public,91,62.8,201–250,50.4–53.9,45.2,43.8,60.2,37.7,95.5,Very High,8.0,4377.0,1208.0,M
University of Leeds,2022,United Kingdom,Leeds,Europe,Public,92,62.6,127,59.2,43.7,46.5,81.1,39.8,90.3,Very High,10.0,11584.0,3593.0,XL
Rice University,2022,United States,Houston,North America,Private,94,62.3,136,58.5,47.3,37.5,87.2,44.2,77.8,Very High,7.0,2278.0,996.0,M
Sungkyunkwan University (SKKU),2022,South Korea,Suwon,Asia,Private,97,60.5,122,60.0,56.9,60.2,60.7,99.4,56.3,Very High,7.0,3821.0,3313.0,L
Technical University of Denmark,2022,Denmark,Kongens Lyngby,Europe,Public,99,59.9,185,54.8,39.6,40.6,72.4,86.0,92.2,Very High,4.0,2495.0,2219.0,M
University of Oslo,2022,Norway,Oslo,Europe,Public,102,59.0,119,60.1,40.5,46.5,89.5,44.3,80.4,Very High,7.0,2560.0,2600.0,L
University of Nottingham,2022,United Kingdom,Nottingham,Europe,Public,103,58.9,141,58.1,43.6,44.2,80.1,40.5,89.2,Very High,10.0,9659.0,3386.0,XL
University of Helsinki,2022,Finland,Helsinki,Europe,Public,104,58.5,101,62.2,44.3,56.9,88.5,37.8,57.3,Very High,8.0,1254.0,2855.0,L
University of Geneva,2022,Switzerland,Geneva,Europe,Public,105,58.3,197,54.0,34.4,33.6,83.1,51.6,98.6,Very High,9.0,6547.0,1814.0,L
"University of California, Davis",2022,United States,Davis,North America,Public,108,57.9,67,67.9,58.8,64.6,81.5,50.7,68.9,Very High,10.0,8414.0,3420.0,XL
Utrecht University,2022,Netherlands,Utrecht,Europe,Public,110,57.5,69,67.6,46.6,63.1,90.1,77.0,76.3,Very High,10.0,4454.0,3254.0,XL
Université de Montréal,2022,Canada,Montreal,North America,Public,111,57.3,88,63.6,50.4,52.9,81.7,69.5,85.7,Very High,7.0,7625.0,5533.0,XL
